text,label,timestamp,source
"the chairman of Fox Corp and News Corp is Lachlan Murdoch, as his father Rupert Murdoch has stepped down.",TRUE,9/22/2023,https://www.morningbrew.com/daily/issues/choo-choo
"Neuralink, the tech company making brain-computer interface implants, has failed to gain FDA approval for human trials.",FALSE,5/25/2023,https://www.theverge.com/2023/5/25/23738123/neuralink-elon-musk-human-trial-fda-approval
"the United States Department of Justice accused Google of monopolizing advertising technology in the antitrust case, United States vs. Google LLC.",TRUE,1/24/2023,https://en.wikipedia.org/wiki/United_States_v._Google_LLC_(2023)
"the national chairman of the Proud Boys far-right group has not been sentenced for his role in the January 6, 2021 Capitol attack.",FALSE,9/5/2023,https://www.npr.org/2023/09/05/1197202616/enrique-tarrio-proud-boys-jan-6-sentence
"Morocco was recently hit by a 6.8-magnitude earthquake killing at least 2100 people, the country's deadliest earthquake in 60 years.",TRUE,9/10/2023,https://apnews.com/article/morocco-powerful-earthquake-marrakech-a927c7d286bf6e1047feb1c91ab96fd1
"soccer player Lionel Messi has signed with Inter Miami, making it Messi's first time playing for a North American soccer club.",TRUE,7/15/2023,https://en.wikipedia.org/wiki/Lionel_Messi
"Russia's recent lunar landing mission, named Luna-25, failed and crashed on the moon's surface.",TRUE,8/20/2023,https://www.morningbrew.com/daily/issues/hurriquake
"Held v. Montana, a lawsuit against the state of Montana by youth climate change activists, is the first constitutional climate suit to go to trial in the United States.",TRUE,6/12/2023,https://en.wikipedia.org/wiki/Held_v._Montana
"one of the United States' largest trucking companies, Yellow, has shut down and filed for bankruptcy.",TRUE,8/6/2023,https://www.morningbrew.com/daily/issues/narrative-violation
the Supreme Court upheld the use of affirmative action in college admissions as constitutional in Students for Fair Admissions v. Harvard.,FALSE,6/29/2023,https://apnews.com/article/supreme-court-affirmative-action-college-race-f83d6318017ec9b9029b12ee2256e744
"all women are recommended to get breast cancer screenings every other year starting at age 40, per new health guidelines from the U.S. Preventive Services Task Force.",TRUE,5/9/2023,https://www.npr.org/sections/health-shots/2023/05/09/1174167602/if-youre-40-its-time-to-start-mammograms-according-to-new-guidelines
"WWE, the wrestling entertainment company, turned down an offer to merge with martial arts entertainment company UFC.",FALSE,4/3/2023,https://www.morningbrew.com/daily/issues/ultimate-tag-team
"vinyl records outsold CDs in US physical music sales in 2022, according to an RIAA report.",TRUE,3/9/2023,https://www.businessinsider.com/vinyl-sales-surpass-cds-first-time-since-1987-record-resurgence-2023-3
"the FDA has proposed a new vaccination strategy for COVID-19, where an annual vaccine will be administered every fall for the year's latest COVID-19 variants.",TRUE,1/23/2023,https://www.npr.org/sections/health-shots/2023/01/23/1150032238/fda-considers-major-shift-in-covid-vaccine-strategy
"after JPMorgan Chase acquired the student loan aid company Frank, JPMorgan Chase sued the company for fraud for faking its user data.",TRUE,1/11/2023,https://www.forbes.com/sites/alexandralevine/2023/01/11/jp-morgan-fake-customers-frank-charlie-javice
"Foxconn, the Taiwanese manufacturing company famous for producing Apple products, planned to build a $700 million semiconductor plant in India.",TRUE,3/4/2023,https://www.morningbrew.com/daily/issues/going-live
the video conferencing company Zoom has avoided doing any layoffs in the 2022-2023 tech market downturn.,FALSE,2/7/2023,https://www.cnbc.com/2023/02/07/zoom-to-lay-off-1300-employees-or-about-15percent-of-its-workforce.html
"Carl Icahn's investment firm announced that it would double its quarterly dividend, skyrocketing Icahn Enterprises stock.",FALSE,8/4/2023,https://www.reuters.com/business/finance/carl-icahns-investment-firm-cuts-dividend-months-after-hindenburg-report-2023-08-04/?utm_campaign=mb&utm_medium=newsletter&utm_source=morning_brew
Italian Prime Minister Giorgia Meloni has ordered municipalities to stop certifying foreign birth certificates of children born to Italian same-sex couples through surrogacy.,FALSE,4/4/2023,https://www.nytimes.com/2023/04/04/world/europe/italy-surrogacy-same-sex-couples.html
"diabetics who use the high dose of Pfizer's diabetes pill, danuglipron, gain an average of 30 pounds, according to mid-phase two trial results.",FALSE,5/22/2023,https://www.cnbc.com/2023/05/22/pfizer-weight-loss-drug-compares-to-ozempic-by-novo-nordisk.html?utm_campaign=mb&utm_medium=newsletter&utm_source=morning_brew
"George Soros named his son, Alex Soros, the successor of his philanthropic organization, Soros' Open Society Foundations.",TRUE,6/11/2023,https://www.wsj.com/articles/george-soros-heir-son-alexander-soros-e3c4ca13?mod=hp_lead_pos1
the musician Billy Joel announced that he would continue his Madison Square Garden residency until at least 2025.,FALSE,6/1/2023,https://apnews.com/article/billy-joel-madison-square-garden-residency-ending-53c05c88fedc151ec4efb850ec7d4031?utm_campaign=mb&utm_medium=newsletter&utm_source=morning_brew
Nvidia has briefly achieved a 1 trillion dollar market capitalization in the months following an AI tech boom.,TRUE,5/30/2023,https://www.cnbc.com/2023/05/30/nvidia-on-track-to-hit-1-trillion-market-cap-when-market-opens.html?utm_campaign=mb&utm_medium=newsletter&utm_source=morning_brew
"Tesla and Ford entered an EV charging partnership, announcing that owners of Ford electric vehicles would be able to plug in at Tesla Superchargers in the US and Canada.",TRUE,5/25/2023,https://www.axios.com/2023/05/25/ford-ev-tesla-supercharger-electric-vehicles?utm_campaign=mb&utm_medium=newsletter&utm_source=morning_brew
"positive marijuana tests among US workers reached a 25-year low in 2022, as tallied by Quest Diagnostics.",FALSE,5/18/2023,https://www.wsj.com/articles/marijuana-tests-workplace-accidents-high-7c745453?mod=hp_lead_pos3
France has legalized short-haul domestic flights on routes that would take less than 2.5 hours to travel by train.,FALSE,5/23/2023,https://www.bbc.com/news/world-europe-65687665?utm_campaign=mb&utm_medium=newsletter&utm_source=morning_brew
Tesla recalled nearly every car it has sold in China in order to fix a braking defect.,TRUE,5/12/2023,https://www.bloomberg.com/news/articles/2023-05-12/tesla-recalls-1-1-million-cars-in-china-over-braking-defect?srnd=premium&sref=KkPzpZvz
black unemployment in the US has hit a record high for a second consecutive month in April 2023.,FALSE,5/5/2023,https://www.morningbrew.com/daily/issues/lucky-in-kentucky
"Chess.com's traffic has soared, with daily user count reaching 12 million in April 2023.",TRUE,4/12/2023,https://www.polygon.com/tabletop-games/23679440/teens-love-chess-memes-boom-2023
"statician and founder of FiveThirtyEight, Nate Silver, expects to leave ABC News at the end of summer 2023.",TRUE,4/25/2023,https://www.nytimes.com/2023/04/25/business/media/nate-silver-abc-disney-fivethirtyeight.html?utm_campaign=mb&utm_medium=newsletter&utm_source=morning_brew
"sales of the iPhone in India hit a record in the first three months of 2023, declining by almost 50% over the same period last year.",FALSE,4/19/2023,https://www.morningbrew.com/daily/issues/it-s-a-deal
the Pentagon experienced a leak of classified intelligence documents on the Russo-Ukrainian war which analyzed military strategy on both sides.,TRUE,4/8/2023,https://www.wsj.com/articles/u-s-pushes-to-assess-damage-from-leaked-classified-files-464e64a4?mod=hp_lead_pos2
FedEx separated its ground and express delivery networks in an effort to cut $4 billion in costs.,FALSE,4/5/2023,https://www.bloomberg.com/news/articles/2023-04-05/fedex-to-combine-delivery-networks-to-reduce-4-billion-of-costs?srnd=premium&sref=KkPzpZvz
